order_id,user_id,amount,status,paid_at,is_test
1001,u01,120.0,paid,2026-08-01 10:00:00,0
1002,u02,80.0,paid,2026-08-01 11:30:00,0
1003,u03,200.0,paid,2026-08-01 12:00:00,0
1004,u04,50.0,cancelled,2026-08-01 13:00:00,0
1005,u99,999.0,paid,2026-08-01 14:00:00,1
1006,u05,160.0,paid,2026-08-02 09:10:00,0
1007,u06,90.0,paid,2026-08-02 10:20:00,0
1008,u07,300.0,paid,2026-08-02 18:00:00,0
1009,u08,75.0,paid,2026-08-03 08:00:00,0
1010,u09,140.0,paid,2026-08-03 20:00:00,0
1011,u99,500.0,paid,2026-08-03 21:00:00,1
1012,u10,60.0,cancelled,2026-08-03 22:00:00,0
